distance_km,elevation_m
0.000000,59.00
0.012378,60.00
0.024757,60.00
0.037135,60.92
0.049513,66.08
0.061892,72.63
0.074270,75.54
0.086648,79.58
0.099027,84.00
0.111405,86.55
0.123783,91.94
0.136162,97.56
0.148540,97.00
0.160918,98.00
0.173297,98.00
0.185675,98.00
0.198053,98.75
0.210432,101.84
0.222810,104.91
0.235188,108.00
0.247567,109.78
0.259945,111.00
0.272323,114.00
0.284701,114.87
0.297080,113.00
0.309458,110.82
0.321836,109.40
0.334215,108.00
0.346593,103.23
0.358971,101.00
0.371350,101.00
0.383728,97.63
0.396106,92.00
0.408485,89.00
0.420863,86.92
0.433241,82.00
0.445620,79.07
0.457998,75.00
0.470376,66.55
0.482755,63.00
0.495133,69.14
0.507511,76.60
0.519890,81.00
0.532268,83.00
0.544646,86.00
0.557025,88.90
0.569403,92.88
0.581781,97.45
0.594160,101.75
0.606538,104.69
0.618916,101.18
0.631295,98.00
0.643673,94.52
0.656051,90.37
0.668430,88.00
0.680808,84.63
0.693186,81.00
0.705565,76.56
0.717943,71.51
0.730321,66.07
0.742700,62.59
0.755078,60.16
0.767456,51.00
0.779834,49.00
0.792213,41.12
0.804591,39.25
0.816969,34.00
0.829348,29.08
0.841726,25.43
0.854104,20.99
0.866483,19.00
0.878861,20.93
0.891239,21.00
0.903618,25.00
0.915996,28.00
0.928374,32.06
0.940753,34.71
0.953131,37.00
0.965509,38.00
0.977888,39.00
0.990266,41.00
1.002644,42.00
1.015023,42.00
1.027401,43.00
1.039779,45.90
1.052158,48.34
1.064536,51.31
1.076914,54.04
1.089293,58.08
1.101671,59.87
1.114049,62.10
1.126428,63.00
1.138806,63.26
1.151184,67.47
1.163563,71.45
1.175941,74.11
1.188319,76.32
1.200698,77.00
1.213076,79.00
1.225454,79.90
1.237833,78.02
1.250211,75.87
1.262589,76.75
1.274967,80.00
1.287346,77.00
1.299724,76.00
1.312102,76.60
1.324481,76.00
1.336859,78.00
1.349237,78.00
1.361616,77.90
1.373994,75.00
1.386372,75.26
1.398751,78.49
1.411129,78.00
1.423507,77.77
1.435886,75.08
1.448264,74.63
1.460642,72.28
1.473021,68.48
1.485399,64.67
1.497777,62.00
1.510156,62.00
1.522534,60.12
1.534912,58.41
1.547291,56.20
1.559669,52.49
1.572047,49.42
1.584426,46.40
1.596804,44.00
1.609182,42.00
1.621561,41.00
1.633939,39.00
1.646317,38.00
1.658696,37.00
1.671074,35.00
1.683452,34.39
1.695831,30.34
1.708209,26.46
1.720587,21.00
1.732966,16.87
1.745344,13.00
1.757722,10.80
1.770100,6.74
1.782479,5.00
1.794857,6.00
1.807235,7.25
1.819614,8.00
1.831992,10.00
1.844370,15.00
1.856749,16.83
1.869127,19.00
1.881505,22.00
1.893884,22.00
1.906262,25.04
1.918640,29.35
1.931019,33.47
1.943397,40.00
1.955775,43.20
1.968154,46.59
1.980532,53.00
1.992910,56.00
2.005289,63.00
2.017667,65.40
2.030045,69.00
2.042424,74.06
2.054802,80.13
2.067180,84.87
2.079559,88.00
2.091937,91.00
2.104315,94.98
2.116694,98.22
2.129072,102.84
2.141450,106.72
2.153829,110.00
2.166207,109.45
2.178585,115.07
2.190964,117.00
2.203342,118.00
2.215720,120.58
2.228099,121.46
2.240477,121.77
2.252855,119.31
2.265233,119.00
2.277612,116.31
2.289990,114.04
2.302368,111.00
2.314747,108.00
2.327125,106.00
2.339503,104.66
2.351882,99.21
2.364260,95.49
2.376638,93.00
2.389017,87.47
2.401395,84.00
2.413773,81.13
2.426152,74.62
2.438530,70.00
2.450908,70.00
2.463287,69.54
2.475665,69.00
2.488043,69.00
2.500422,69.00
2.512800,69.00
2.525178,69.00
2.537557,69.00
2.549935,69.00
2.562313,69.36
2.574692,70.00
2.587070,70.00
2.599448,69.24
2.611827,70.00
2.624205,68.22
2.636583,69.00
2.648962,68.33
2.661340,67.85
2.673718,67.62
2.686097,68.00
2.698475,68.00
2.710853,68.00
2.723232,67.00
2.735610,68.00
2.747988,68.00
2.760366,68.00
2.772745,68.00
2.785123,67.54
2.797501,67.00
2.809880,67.00
2.822258,67.00
2.834636,67.93
2.847015,68.00
2.859393,68.00
2.871771,67.64
2.884150,67.00
2.896528,67.00
2.908906,67.32
2.921285,67.78
2.933663,67.09
2.946041,67.00
2.958420,66.56
2.970798,66.00
2.983176,66.14
2.995555,67.00
3.007933,66.81
3.020311,66.00
3.032690,67.00
3.045068,69.00
3.057446,72.00
3.069825,74.00
3.082203,75.08
3.094581,77.00
3.106960,79.00
3.119338,79.00
3.131716,81.00
3.144095,81.82
3.156473,83.02
3.168851,84.81
3.181230,86.00
3.193608,87.43
3.205986,89.12
3.218365,90.00
3.230743,91.00
3.243121,92.60
3.255499,93.00
3.267878,94.00
3.280256,95.00
3.292634,96.00
3.305013,97.00
3.317391,98.26
3.329769,99.00
3.342148,99.00
3.354526,101.00
3.366904,101.20
3.379283,102.09
3.391661,104.00
3.404039,105.14
3.416418,108.00
3.428796,109.00
3.441174,110.00
3.453553,109.13
3.465931,109.81
3.478309,109.00
3.490688,108.00
3.503066,107.00
3.515444,107.00
3.527823,107.56
3.540201,108.00
3.552579,108.00
3.564958,109.00
3.577336,110.00
3.589714,110.00
3.602093,109.09
3.614471,109.00
3.626849,110.00
3.639228,110.00
3.651606,110.00
3.663984,110.00
3.676363,110.00
3.688741,109.00
3.701119,109.00
3.713498,109.00
3.725876,110.00
3.738254,109.00
3.750632,110.00
3.763011,109.34
3.775389,104.89
3.787767,102.25
3.800146,99.42
3.812524,97.00
3.824902,95.00
3.837281,93.36
3.849659,91.49
3.862037,86.79
3.874416,81.23
3.886794,75.66
3.899172,70.65
3.911551,65.73
3.923929,63.00
3.936307,61.01
3.948686,57.67
3.961064,53.43
3.973442,48.56
3.985821,45.34
3.998199,41.59
4.010577,36.89
4.022956,33.00
4.035334,30.00
4.047712,28.00
4.060091,28.00
4.072469,26.00
4.084847,25.00
4.097226,23.00
4.109604,22.30
4.121982,21.58
4.134361,20.00
4.146739,18.34
4.159117,16.34
4.171496,14.00
4.183874,10.47
4.196252,8.00
4.208631,9.00
4.221009,8.00
4.233387,8.00
4.245765,9.00
4.258144,8.00
4.270522,8.00
4.282900,8.00
4.295279,7.93
4.307657,7.70
4.320035,7.00
4.332414,7.00
4.344792,6.18
4.357170,6.00
4.369549,5.32
4.381927,6.00
4.394305,6.00
4.406684,6.84
4.419062,6.00
4.431440,6.00
4.443819,6.48
4.456197,6.85
4.468575,5.00
4.480954,5.00
4.493332,6.00
4.505710,6.58
4.518089,7.00
4.530467,7.00
4.542845,7.71
4.555224,9.00
4.567602,10.00
4.579980,10.41
4.592359,10.00
4.604737,9.00
4.617115,9.00
4.629494,7.86
4.641872,7.00
4.654250,6.65
4.666629,6.00
4.679007,6.00
4.691385,6.00
4.703764,7.00
4.716142,6.45
4.728520,7.00
4.740898,6.00
4.753277,5.84
4.765655,5.17
4.778033,6.00
4.790412,6.81
4.802790,7.00
4.815168,7.00
4.827547,6.00
4.839925,7.00
4.852303,7.06
4.864682,10.52
4.877060,11.00
4.889438,13.00
4.901817,12.00
4.914195,13.00
4.926573,13.00
4.938952,14.00
4.951330,13.00
4.963708,14.00
4.976087,15.76
4.988465,18.71
5.000843,20.68
5.013222,23.00
5.025600,24.00
5.037978,28.00
5.050357,30.86
5.062735,33.00
5.075113,35.00
5.087492,37.00
5.099870,40.00
5.112248,43.34
5.124627,47.00
5.137005,50.00
5.149383,51.00
5.161762,54.00
5.174140,56.66
5.186518,60.00
5.198897,63.42
5.211275,66.50
5.223653,69.00
5.236031,70.44
5.248410,74.85
5.260788,77.00
5.273166,79.68
5.285545,81.00
5.297923,83.77
5.310301,86.00
5.322680,89.00
5.335058,91.00
5.347436,94.23
5.359815,97.00
5.372193,97.90
5.384571,102.00
5.396950,105.14
5.409328,108.00
5.421706,109.41
5.434085,112.00
5.446463,114.24
5.458841,118.15
5.471220,120.82
5.483598,122.00
5.495976,125.86
5.508355,127.15
5.520733,128.00
5.533111,130.08
5.545490,132.00
5.557868,134.00
5.570246,136.00
5.582625,138.74
5.595003,140.67
5.607381,144.13
5.619760,149.00
5.632138,154.00
5.644516,159.41
5.656895,164.05
5.669273,168.00
5.681651,171.08
5.694030,174.20
5.706408,177.00
5.718786,182.85
5.731164,186.00
5.743543,189.44
5.755921,192.25
5.768299,197.00
5.780678,200.00
5.793056,201.00
5.805434,203.00
5.817813,203.00
5.830191,203.44
5.842569,203.00
5.854948,203.00
5.867326,201.16
5.879704,201.00
5.892083,202.00
5.904461,202.99
5.916839,205.00
5.929218,209.00
5.941596,213.00
5.953974,214.63
5.966353,215.00
5.978731,218.00
5.991109,221.00
6.003488,223.73
6.015866,226.00
6.028244,228.70
6.040623,233.85
